year,initiative,category,category2,jack,chad
2004,Complex Biological Systems,Systems Biology,biology,Biology,biology
2005,Systems Biology,Systems Biology,biology,Biology,biology
2006,Systems Biology,Systems Biology,biology,Biology,biology
2007,Systems Biology,Systems Biology,biology,Biology,biology
2008,Systems Biology,Systems Biology,biology,Biology,biology
2009,Systems Biology and the Environment,Systems Biology and the Environment,biological and environmental systems,Biology and Environment,"biology, environmental"
2016,Advance understanding of complexity in biological and environmental systems,biological and environmental systems,biological and environmental systems,Biology and Environment,"biology, environmental"
2018,Advance the understanding of complexity in biological and environmental systems,biological and environmental systems,biological and environmental systems,Biology and Environment,"biology, environmental"
2019,Advance the understanding of complexity in biological and environmental systems,"Systems Biology, and Environmental Sustainability",biological and environmental systems,Biology and Environment,"biology, environmental"
2020,Understand complexity in biological and evironmental systems,biological and environmental systems,biological and environmental systems,Biology and Environment,"biology, environmental"
2011,Achieve breakthroughs in biomass production and conversion for energy and materials,biomass production and conversion,biomass production and conversion,Biomass Prod,biomass production
2012,Achieve breakthroughs in biomass production and conversion for energy and materials,biomass production and conversion,biomass production and conversion,Biomass Prod,biomass production
2010,"Climate Change Science, Systems Biology, and Environmental Sustainability","Climate Change Science, Systems Biology, and Environmental Sustainability","climate science, biological systems, environmental science",Climate Science,"climate, biology, environmental"
2011,Advance climate change science and explore solution strategies,Climate Change Science,climate science,Climate Science,climate
2012,Advance understanding of climate change impacts,Climate Change Science,climate science,Climate Science,climate
2013,"Advance understanding in biological, environmental systems, and climate change impacts science","Climate Change Science, Systems Biology, and Environmental Sustainability","climate science, biological systems, environmental science",Climate Science,"climate, biology, environmental"
2014,"Advance understanding in biological, environmental systems, and climate change impacts science","Climate Change Science, Systems Biology, and Environmental Sustainability","climate science, biological systems, environmental science",Climate Science,"climate, biology, environmental"
2015,"Advance understanding of complexity in biological, environmental and climate systems","Climate Change Science, Systems Biology, and Environmental Sustainability","climate science, biological systems, environmental science",Climate Science,"climate, biology, environmental"
2017,"Advance the understanding of complexity in biological, environmental and climate systems","Climate Change Science, biological and environmental systems","climate science, biological systems, environmental science",Climate Science,"climate, biology, environmental"
2009,Cross Cutting Initiatives,Cross Cutting Initiatives,cross cutting initiatives,Cross Cuts,cross cuts
2004,Future Research and Development Directions,Emerging Research and Development Areas,emerging areas,Emerging R&D,emerging R&D
2005,Emerging Research and Development Areas,Emerging Research and Development Areas,emerging areas,Emerging R&D,emerging R&D
2013,"Enhance building energy efficiency, sustainable transportation, and advanced manufacturing","building efficiency, sustainable transportation, advanced manufacturing","building systems, transportation, advanced manufacturing",Energy Efficiency,"building systems, transportation, advanced manufacturing"
2014,"Enhance building energy efficiency, sustainable transportation, and advanced manufacturing","building efficiency, sustainable transportation, advanced manufacturing","building systems, transportation, advanced manufacturing",Energy Efficiency,"building systems, transportation, advanced manufacturing"
2006,Advanced Energy Systems,Advanced Energy Systems,energy systems,Energy Systems,energy systems
2007,Advanced Energy Systems,Advanced Energy Systems,energy systems,Energy Systems,energy systems
2008,Advanced Energy Systems,Advanced Energy Systems,energy systems,Energy Systems,energy systems
2009,Advanced Energy Systems and ITER,Advanced Energy Systems and ITER,energy systems,Energy Systems,"energy systems, iter"
2010,Energy Security Science and Technology,Energy Security Science and Technology,?,Energy Systems,energy security
2011,Deliver fusion science and technology for the ITER era,Advanced Energy Systems and ITER,energy systems,Energy Systems,"energy systems, iter"
2015,"Accelerate research, development, and manufacturing of integrated energy systems",integrated energy systems,energy systems,Energy Systems,energy systems
2016,"Discover and develop sustainable and secure integrated energy systems across buildings, transportation, and manufacturing",integrated energy systems,energy systems,Energy Systems,energy systems
2017,"Accelerate research, development, and manufacturing of integrated energy systems",integrated energy systems,energy systems,Energy Systems,energy systems
2018,"Accelerate research, development, and manufacturing of integrated energy systems",integrated energy systems,energy systems,Energy Systems,energy systems
2019,"Accelerate research, development, and manufacturing of integrated energy systems",integrated energy systems,energy systems,Energy Systems,energy systems
2020,"Accelerate research, development, and manufacturing of integrated energy systems",integrated energy systems,energy systems,Energy Systems,energy systems
2004,Fission to Fusion,Fission to Fusion,?,Fission to Fusion,fission to fusion
2007,ITER and Fusion Energy Sciences,ITER and Fusion Energy Sciences,?,Fusion,"fusion, iter"
2008,ITER and Fusion Energy Sciences,ITER and Fusion Energy Sciences,?,Fusion,"fusion, iter"
2010,Graduate Education and University Partnerships,Graduate Education and University Partnerships,?,Grad Ed,"graduate education, university partnerships"
2011,Invigorate science through graduate education,Graduate Education,graduate and post-graduate education,Grad Ed,graduate education
2012,Invigorate science through graduate research and education,Graduate Education,graduate and post-graduate education,Grad Ed,graduate education
2013,Invigorate science through graduate and post-graduate research and education,Graduate and post-graduate education,graduate and post-graduate education,Grad Ed,graduate education
2014,Invigorate science through graduate and post-graduate research and education,Graduate and post-graduate education,graduate and post-graduate education,Grad Ed,graduate education
2004,Grid Modernization,Advanced Energy Systems,electric grid,Grid Tech,grid technology
2005,Advanced Grid Technologies,Advanced Energy Systems,electric grid,Grid Tech,grid technology
2011,Enable 21st century electric grid technology,Enable 21st century electric grid technology,electric grid,Grid Tech,grid technology
2004,Terascale Computing and Simulation Science,Terascale Computing,computing,HPC,hpc
2005,Terascale Computing and Simulation Science,Terascale Computing,computing,HPC,hpc
2006,Ultrascale Computing,Ultrascale Computing,computing,HPC,hpc
2007,Ultrascale Computing,Ultrascale Computing,computing,HPC,hpc
2008,Ultrascale Computing,Ultrascale Computing,computing,HPC,hpc
2009,Ultrascale Computing,Ultrascale Computing,computing,HPC,hpc
2010,Ultrascale Computing and Computational Science,Ultrascale Computing,computing,HPC,hpc
2011,"Scale computers, computational science, and data analytics to the extreme for discovery and innovation",scale computing and data analytics,computing and data analytics,HPC & Data,"hpc, data"
2012,"Scale computing, data infrastructure, and analytics for science",scale computing and data analytics,computing and data analytics,HPC & Data,"hpc, data"
2013,"Scale computing, data infrastructure, and analytics for science",scale computing and data analytics,computing and data analytics,HPC & Data,"hpc, data"
2014,"Scale computing, data infrastructure, and analytics for science",scale computing and data analytics,computing and data analytics,HPC & Data,"hpc, data"
2015,Scale computing and data analytics for science and energy,scale computing and data analytics,computing and data analytics,HPC & Data,"hpc, data"
2016,Scale computing and data analytics to exascale and beyond for science and energy,exascale computing and data analytics,computing and data analytics,HPC & Data,"hpc, data"
2017,Scale computing and data analytics to exascale and beyond for science and energy,exascale computing and data analytics,computing and data analytics,HPC & Data,"hpc, data"
2018,Scale computing and data analytics to exascale and beyond for science and energy,exascale computing and data analytics,computing and data analytics,HPC & Data,"hpc, data"
2019,Scale computing and data analytics to exascale and beyond for science and energy,exascale computing and data analytics,computing and data analytics,HPC & Data,"hpc, data"
2020,Scale computing and data analytics to exascale and beyond for science and energy,exascale computing and analytics,computing and data analytics,HPC & Data,"hpc, data"
2004,Science and Technology for a Hydrogen Economy,Science and Technology for a Hydrogen Economy,hydrogen,Hydrogen,hydrogen
2005,Hydrogen Infrastructure,Hydrogen Infrastructure,hydrogen,Hydrogen,hydrogen
2019,Enhance strategic capabilities in isotope production and R&D,isotope production and research and development,"isotope production, research, and development",Isotopes,isotopes
2020,Provide strategic capabilities in isotope production and R&D?,isotope production and research and development,"isotope production, research, and development",Isotopes,isotopes
2004,Advanced Materials,Advanced Materials,materials,Materials,materials
2005,Advanced Materials,Advanced Materials,materials,Materials,materials
2006,Advanced Materials,Advanced Materials,materials,Materials,materials
2007,Advanced Materials,Advanced Materials,materials,Materials,materials
2008,Advanced Materials,Advanced Materials,materials,Materials,materials
2009,Advanced Materials,Advanced Materials,materials,Materials,materials
2010,Advanced Materials and Interfacial Processes,Advanced Materials and Interfacial Processes,materials,Materials,materials
2011,Deliver advanced materials for energy applications,material discovery and design,materials,Materials,materials
2012,Discover and demonstrate advanced materials for energy applications,material discovery and design,materials,Materials,materials
2013,Discover and demonstrate advanced materials for energy applications,material discovery and design,materials,Materials,materials
2014,Discover and demonstrate advanced materials for energy,material discovery and design,materials,Materials,materials
2015,Accelerate the discovery of new materials for energy,material discovery and design,materials,Materials,materials
2016,Accelerate the discovery and design of new materials for energy,material discovery and design,materials,Materials,materials
2017,Accelerate the discovery and design of new materials for energy,material discovery and design,materials,Materials,materials
2018,Accelerate the discovery and design of new materials for energy,material discovery and design,materials,Materials,materials
2019,Accelerate the discovery and design of new materials and chemical processes for energy,material discovery and design,materials,Materials,materials
2020,Discover and design next generation materials and chemical processes for energy,material discovery and design,materials,Materials,materials
2004,National Security,National Security,national security,National Security,national security
2005,National Security,National Security Science and Technology,national security,National Security,national security
2006,National Security Science and Technology,National Security Science and Technology,national security,National Security,national security
2007,National Security Science and Technology,National Security Science and Technology,national security,National Security,national security
2008,National Security Science and Technology,National Security Science and Technology,national security,National Security,national security
2009,National Security Science and Technology,National Security Science and Technology,national security,National Security,national security
2010,Global Security Science and Technology,Global Security Science and Technology,national security,National Security,national security
2011,Provide science and technology to solve challenges in global security,Global Security Science and Technology,national security,National Security,national security
2012,Provide science and technology to solve challenges in global security,Global Security Science and Technology,national security,National Security,national security
2013,Solve the nation’s most compelling global security challenges,Global Security Science and Technology,national security,National Security,national security
2014,Deliver science and technology to address complex global security challenges,Global Security Science and Technology,national security,National Security,national security
2015,Deliver science and technology to address complex national security challenges,Global Security Science and Technology,national security,National Security,national security
2016,Deliver science and technology to address complex security challenges,Global Security Science and Technology,national security,National Security,national security
2017,Deliver science and technology to address complex global security challenges,Global Security Science and Technology,national security,National Security,national security
2018,Deliver science and technology to address complex global security challenges,Global Security Science and Technology,national security,National Security,national security
2019,Deliver science and technology to address complex global security challenges,Global Security Science and Technology,national security,National Security,national security
2020,Deliver science and technology to address pressing National Security challenges,Global Security Science and Technology,national security,National Security,national security
2009,Neutron and Nuclear Sciences,Neutron and Nuclear Sciences,neutron and nuclear science,Neutron and Nuclear,"neutrons, nuclear"
2010,Neutron and Nuclear Sciences,Neutron and Nuclear Sciences,neutron and nuclear science,Neutron and Nuclear,"neutrons, nuclear"
2004,Neutron Sciences,Neutron Sciences,neutron science,Neutrons,neutrons
2005,Neutron Sciences,Neutron Sciences,neutron science,Neutrons,neutrons
2006,Neutron Sciences,Neutron Sciences,neutron science,Neutrons,neutrons
2007,Neutron Sciences,Neutron Sciences,neutron science,Neutrons,neutrons
2008,Neutron Sciences,Neutron Sciences,neutron science,Neutrons,neutrons
2011,Deliver science using neutrons,advance neutron science impact,neutron science,Neutrons,neutrons
2011,Achieve transformational nuclear S&T outcomes through coupled experiments and simulations,Nuclear Science,nuclear science,Neutrons,neutrons
2012,Deliver science using neutrons,advance neutron science impact,neutron science,Neutrons,neutrons
2012,Advance the scientific basis for breakthrough nuclear technologies and systems,Nuclear Science,nuclear science,Neutrons,neutrons
2013,Deliver science using neutrons,advance neutron science impact,neutron science,Neutrons,neutrons
2013,Advance the scientific basis for breakthrough nuclear science and technology,Nuclear Science,nuclear science,Neutrons,neutrons
2014,Deliver science using neutrons,advance neutron science impact,neutron science,Neutrons,neutrons
2014,Advance the scientific basis for breakthrough nuclear technologies and systems,Nuclear Science,nuclear science,Neutrons,neutrons
2015,Advance the science and impact of neutrons,advance neutron science impact,neutron science,Neutrons,neutrons
2015,Advance the scientific basis for breakthrough nuclear technologies and systems,Nuclear Science,nuclear science,Neutrons,neutrons
2016,Advance the science and impact of neutrons,advance neutron science impact,neutron science,Neutrons,neutrons
2016,Advance the scientific basis for breakthrough nuclear technologies and systems,Nuclear Science,nuclear science,Neutrons,neutrons
2017,Advance the science and impact of neutrons,advance neutron science impact,neutron science,Neutrons,neutrons
2017,Advance the scientific basis for breakthrough nuclear technologies and systems,Nuclear Science,nuclear science,Neutrons,neutrons
2018,Advance the science and impact of neutrons,advance neutron science impact,neutron science,Neutrons,neutrons
2018,Advance the scientific basis for breakthrough nuclear technologies and systems,Nuclear Science,nuclear science,Neutrons,neutrons
2019,Advance the science and impact of neutrons,advance neutron science impact,neutron science,Neutrons,neutrons
2019,Advance the scientific basis for breakthrough nuclear technologies and systems,Nuclear Science,nuclear science,Neutrons,neutrons
2020,Advance impact and application of neutron science,advance neutron science impact,neutron science,Neutrons,neutrons
2020,Enhance the scientific basis for breakthrough nuclear technologies and systems,Nuclear Science,nuclear science,Neutrons,neutrons
2017,Advance ORNL’s science and innovation culture,science and innovation culture,ORNL science and innovation culture,Science Culture,science culture
2018,Advance ORNL’s Science and Innovation Culture,science and innovation culture,ORNL science and innovation culture,Science Culture,science culture
2019,Advance ORNL’s science and innovation culture,science and innovation culture,ORNL science and innovation culture,Science Culture,science culture
2020,Enhance ORNL's science and innovation culture,science and innovation culture,ORNL science and innovation culture,Science Culture,science culture
2005,Space Nuclear,Space Nuclear,?,Space Nuclear,space nuclear
2013,Enhance technology transfer,Enhance technology transfer,technology transfer,Tech Transfer,tech transfer
2014,Enhance technology transfer,Enhance technology transfer,technology transfer,Tech Transfer,tech transfer
2015,Accelerate deployment of DOE technologies,Accelerate deployment of DOE technologies,technology transfer,Tech Transfer,tech transfer
2016,Accelerate deployment of DOE intellectual property and strategic engagement with industry and universities,Accelerate deployment of DOE technologies,technology transfer,Tech Transfer,tech transfer
2017,Accelerate deployment of DOE intellectual property and strategic engagement with industry and universities,Accelerate deployment of DOE technologies,technology transfer,Tech Transfer,tech transfer
2018,Accelerate deployment of DOE intellectual property and strategic engagement with industry and universities,DOE intellectual property and strategic engagement,technology transfer,Tech Transfer,tech transfer
2019,Accelerate deployment of DOE intellectual property and strategic engagement with industry and universities,DOE intellectual property and strategic engagement,technology transfer,Tech Transfer,tech transfer
2020,Accelerate deployment of DOE intellectual property and strategic engagement with industry,DOE intellectual property and strategic engagement,technology transfer,Tech Transfer,tech transfer
2012,Deliver sustainable transportation solutions,Sustainable transportation solutions,transportation,Transportation,transportation
2004,University Partnerships,University Partnerships,university partnerships,Uni Partnerships,university partnerships
2005,University Partnerships,University Partnerships,university partnerships,Uni Partnerships,university partnerships
2006,University Partnerships,University Partnerships,university partnerships,Uni Partnerships,university partnerships
2007,University Partnerships,University Partnerships,university partnerships,Uni Partnerships,university partnerships
2008,University Partnerships,University Partnerships,university partnerships,Uni Partnerships,university partnerships
2002,Neutron Sciences,,,,neutrons
2002,Complex Biological Systems,,,,biology
2002,Terascale Computing and Simulation Science,,,,hpc
2002,Energy and the Environmental Systems of the Future,,,,"energy systems, environmental"
2002,Advanced Materials,,,,materials
2002,National Security,,,,national security
2002,University Partnerships,,,,university partnerships
2002,Future Research and Development Directions,,,,emerging R&D
2002,Valuing Human Capital,,,,human capital
2001,Neutron Sciences,,,,neutrons
2001,Complex Biological Systems,,,,biology
2001,High-Performance Computing,,,,hpc
2001,Energy and the Environmental Systems of the Future,,,,"energy systems, environmental"
2001,Advanced Materials,,,,materials
2001,University Partnerships,,,,university partnerships